instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,﻿#REF!,﻿#REF!,,,,,﻿f_n_blanchet_001,﻿Most Rev.,﻿F. N. Blanchet,﻿D.D.,,,,,,1867,﻿OregonCity,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,﻿#REF!,﻿#REF!,,,,,﻿joh_f_fierens_001,﻿Very Rev.,﻿John F. Fierens,,﻿Rector,,,,,1867,﻿OregonCity,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,﻿#REF!,﻿#REF!,,,,,﻿cha_tierney_001,﻿Rev.,﻿Charles Tierney,,﻿Assistant,,,,,1867,﻿OregonCity,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,﻿#REF!,﻿#REF!,,,,,﻿lew_piette_001,﻿Rev.,﻿Lewis Piette,,﻿Chaplain to the Convent,,,,,1867,﻿OregonCity,OregonCity
﻿ore.or.0001,﻿cathedral,﻿Cathedral of the Immaculate Conception,English,﻿blessed in 1852,,,,,﻿Portland,﻿Portland,﻿OR,,﻿#REF!,﻿#REF!,,,,,﻿fp_cazeau_001,﻿Rev.,﻿F.P. Cazeau,,﻿Secretary,,,,,1867,﻿OregonCity,OregonCity
﻿ore.or.0002,﻿church,﻿Sacred Heart's Church,English,,,,,,﻿Oregon City,﻿Oregon City,﻿OR,,﻿#REF!,﻿#REF!,,,,,﻿fat_odilon_001,﻿Rev.,﻿Father Odilon,,﻿Pastor,,,,,1867,﻿OregonCity,OregonCity
﻿ore.or.0003,﻿church,﻿St. John the Baptist's Church,English,"﻿blessed July 24, 1864",,,,,﻿Milwaukee,﻿Milwaukee,﻿OR,,﻿#REF!,﻿#REF!,﻿ore.or.0002,﻿Attended from Portland,,,,,,,,,,,,1867,﻿OregonCity,OregonCity
﻿ore.or.0007,﻿church,not recorded,English,,,,﻿Washington County,,﻿Hillboro,﻿Hillsboro,﻿OR,,﻿#REF!,﻿#REF!,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1867,﻿OregonCity,OregonCity
﻿ore.or.0009,﻿church,not recorded,English,,,,﻿Warrenton County,﻿Clatsop County,﻿Fort Stevens,,﻿OR,,﻿#REF!,﻿#REF!,﻿ore.or.0001,﻿attended from Portland,,,,,,,,,,,,1867,﻿OregonCity,OregonCity
﻿ore.or.0004,﻿church,not recorded,English,,,,,,﻿Astoria,﻿Astoria,﻿OR,,﻿#REF!,﻿#REF!,﻿ore.or.0002,﻿attended from Portland,,,,,,,,,,,,1867,﻿OregonCity,OregonCity
