instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese,diocese_reg
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿jam_r_bayley_001,﻿Rt. Rev.,﻿James Roosevelt Bayley,﻿D.D.,,,,,,1869,﻿Newark,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿geo_h_doane_001,﻿Rev.,﻿George H. Doane,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿w_m_wigger_001,﻿Rev.,﻿Winand M. Wigger,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0001,﻿cathedral,﻿St. Patrick's Cathedral,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿cha_a_reilly_001,﻿Rev.,﻿Charles A. Reilly,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0003,﻿church,﻿St. John's,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿tho_m_killeen_001,﻿Rev.,﻿Thomas M. Killeen,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0003,﻿church,﻿St. John's,English,﻿Parochial school connected; conference of the St. Vincent de Paul Society,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿jos_roldano_001,﻿Rev.,﻿Joseph Roldano,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿rom_hill_001,﻿Rev.,﻿Romanus Hill,﻿O.S.B.,,,,,,1869,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿ger_pilz_002,﻿Rev.,﻿Gerhard Pilz,﻿O.S.B.,,,,,,1869,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿val_lobmeyer_001,﻿Rev.,﻿Valentine Sobmeyer,﻿O.S.B.,,,,,,1869,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿wil_walter_001,﻿Rev.,﻿William Walter,﻿O.S.B.,,,,,,1869,﻿Newark,Newark
﻿new.nj.0004,﻿church,﻿St. Mary's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿ber_dolweck_001,﻿Rev.,﻿Bernardine Dolweck,﻿O.S.B.,,,,,,1869,﻿Newark,Newark
﻿new.nj.0005,﻿church,﻿St. James',English,﻿Parochial school connected; conference of the St. Vincent de Paul Society,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿j_m_gervais_001,﻿Rev.,﻿J. M. Gervais,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0005,﻿church,﻿St. James',English,﻿Parochial school connected; conference of the St. Vincent de Paul Society,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿jam_owens_001,﻿Rev.,﻿James Owens,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0006,﻿church,﻿St. Peter's,﻿German,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿god_preith_001,﻿Rev.,﻿Godfried Preith,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0007,﻿church,﻿St. Joseph's,English,﻿Parochial school connected,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿jam_f_dalton_001,﻿Rev.,﻿James F. Dalton,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0008,﻿church,﻿St. Benedict's,﻿German,,,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0004,﻿Served by the Benedictines from St. Mary's,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0009,﻿school,﻿St. Pius' School-house,English,,﻿East Newark,,,﻿Essex County,﻿Newark,﻿Newark,﻿NJ,,﻿#REF!,﻿#REF!,,,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0010,﻿church,﻿St. Nicholas of Tolentino,English,,,,﻿Atlantic County,,﻿Absecom,﻿Absecom,﻿NJ,,﻿#REF!,﻿#REF!,﻿phi.pa.0007,﻿Attended by the Augustinians from Philadelphia,,"﻿no church id found for St. Peters, Philadelphia aa",,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0011,﻿church,not recorded,English,,,,﻿Sussex County,,﻿Andover,﻿Andover,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0070,﻿Attended from Newton,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0012,﻿church,﻿St. James',English,,,,﻿Somerset County,,﻿Baskingridge,﻿Basking Ridge,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0063,﻿Attended from Morristown,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0013,﻿church,﻿St. Peter's,English,﻿Parochial school connected,,,﻿Essex County,,﻿Belleville,﻿Belleville,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿hub_de-burgh_001,﻿Rev.,﻿Hubert De Burgh,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0014,﻿church,not recorded,English,,,,﻿Warren County,,﻿Belvidere,﻿Belvidere,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0080,﻿Attended from Phillipsburgh,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0015,﻿church,﻿St. Mary's (Stella Maris),English,﻿Parochial school connected,,,﻿Bergen County,,﻿Bergen Point,﻿Bayonne,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿f_niederhauser_001,﻿Rev.,﻿F. Niederhauser,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0016,﻿church,﻿St. Joseph's,English,,,,﻿Burlington County,,﻿Beverly,﻿Beverly,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0021,﻿Attended from Burlington,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0017,﻿church,﻿Our Lady of Mount Carmel,English,﻿Parochial school connected,,,﻿Morris County,,﻿Boonton,﻿Boonton,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿l_gambosville_001,﻿Rev.,﻿L. Gambosville,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0018,﻿church,﻿St. Mary's,English,﻿Parochial school connected,,,﻿Burlington County,,﻿Bordentown,﻿Bordentown,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿joh_p_mackin_001,﻿Rev.,﻿John P. Mackin,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0019,﻿church,﻿St. Joseph's,English,,,,﻿Somerset County,,﻿Bound Brook,﻿Bound Brook,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0088,﻿Attended from Raritan,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0020,﻿church,﻿Immaculate Conception,English,,,,﻿Cumberland County,,﻿Bridgeton,﻿Bridgeton,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0064,﻿Attended from Millville,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0021,﻿church,﻿St. Paul's,English,,,,﻿Burlington County,,﻿Burlington,﻿Burlington,﻿NJ,,﻿#REF!,﻿#REF!,,﻿Attended from Mount Holly,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0022,﻿church,﻿Church of the Immaculate Conception,English,﻿Parochial school connected,,,﻿Camden County,,﻿Camden,﻿Camden,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿pat_byrnes_001,﻿Rev.,﻿Patrick Byrnes,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0023,﻿church,﻿SS. Peter and Paul,﻿German,,,,﻿Camden County,,﻿Camden,﻿Camden,﻿NJ,,﻿#REF!,﻿#REF!,,﻿Attended from Egg Harbor City,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0024,﻿church,﻿St. Mary's Star of the Sea,English,,,,﻿Cape May County,,﻿Cape Island,﻿Cape May,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0064,﻿Attended from Millville,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0025,﻿church,﻿St. Mary's,English,,,,﻿Hunterdon County,,﻿Clinton,﻿Clinton,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0069,﻿Attended from New-Hampton,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0026,﻿church,not recorded,English,,,,﻿Cape May County,,﻿Dennis Creek,﻿Dennis,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0064,﻿Attended from Millville,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0027,﻿church,﻿St. Mary's,English,﻿Parochial school connected,,,﻿Morris County,,﻿Dover,﻿Dover,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿b_a_quinn_001,﻿Rev.,﻿B. A. Quinn,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0028,﻿church,﻿St. Cecilia,English,,,,﻿Hudson County,,﻿Englewood,﻿Englewood,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0033,﻿Attended from Fort Lee,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0029,﻿church,﻿St. Nicholas',English,﻿Parochial school connected,,,﻿Atlantic County,,﻿Egg Harbor City,﻿Egg Harbor City,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿j_thurnes_001,﻿Rev.,﻿Joseph Thurnes,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0030,﻿church,﻿St. Mary's,English,﻿Parochial school connected,,,﻿Union County,,﻿Elizabeth,﻿Elizabeth,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿mic_e_kane_001,﻿Rev.,﻿Michael E. Kane,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0031,﻿church,﻿St. Michael's,﻿German,﻿Parochial school connected,,,﻿Union County,,﻿Elizabeth,﻿Elizabeth,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿h_lempké_001,﻿Rev.,﻿H. Lempké,﻿O.S.B.,,,,,,1869,﻿Newark,Newark
﻿new.nj.0032,﻿church,﻿St. Patrick's,English,﻿Parochial school connected,,,﻿Union County,,﻿Elizabeth,﻿Elizabeth,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿p_hennessey_001,﻿Rev.,﻿Patrick Hennessey,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0033,﻿church,﻿Church of the Madonna,English,﻿Parochial school connected,,,﻿Bergen County,,﻿Fort Lee,﻿Fort Lee,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿p_cody_001,﻿Rev.,﻿Patrick Cody,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0034,﻿church,﻿Immaculate Conception,English,,,,﻿Sussex County,,﻿Franklin Furnace,﻿Franklin,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0070,﻿Attended from Newton,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0035,﻿church,﻿St. Mary Magdalen de Pazzi,English,,,,﻿Hunterdon County,,﻿Flemington,﻿Flemington,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0053,﻿Attended from Lambertville,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0036,﻿church,﻿St. Rose of Lima,English,,,,﻿Monmouth County,,﻿Freehold,﻿Freehold,﻿NJ,,﻿#REF!,﻿#REF!,﻿new.nj.0085,﻿Attended from Princeton,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0038,﻿church,﻿St. Mary's,English,﻿Parochial school connected,,,﻿Camden County,,﻿Gloucester,﻿Gloucester,﻿NJ,,﻿#REF!,﻿#REF!,,,,,﻿jam_daly_001,﻿Rev.,﻿James Daly,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0039,﻿church,﻿St. Paul's,English,,,,﻿Hudson County,,﻿Greenville,﻿Greenville,﻿NJ,,﻿#REF!,﻿#REF!,,﻿Attended from Bergen Point,,,,,,,,,,,,1869,﻿Newark,Newark
﻿new.nj.0040,﻿church,﻿St. Joseph's,English,,,,﻿Hudson County,,﻿Guttenberg,﻿Guttenberg,﻿NJ,,﻿#REF!,﻿#REF!,,"﻿Attended from the Monastery, West Hoboken",,﻿Attended by Fr. Nilus,,,,,,,,,,1869,﻿Newark,Newark
